route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
B,29028465,"Gières, Plaine des Sports",12345-MGHLV02_ST0_10_HI2425-MGHLV09_ST0_16_HI2425-MGHLV12_ST0_1_HI2425,0,SEM_B_1,1,2
8,29499257,"Gières, Université - IUT-STAPS",1234567-MSHSAH02_ST5_2_HI2425,0,SEM_C8_4,1,2
8,30054251,"Gières, Université - Biologie",1234567-MSHDF11_ST6_0_HI2425-MSHDF12_ST6_0_HI2425,0,SEM_C8_4,1,2
1,29982671,"Meylan, Maupertuis",12345-MSHLVH12_ST8_2_HI2425-MSHLW12_ST11_2_HI2425,0,SEM_C1_2,1,2
3,29552040,"Échirolles, Centre du graphisme",1234567-MEHS02_ST5_1_HI2425-MEHS12_ST5_1_HI2425,1,SEM_C3_2,1,2
23,29926361,"Saint-Martin-d'Hères, Université - Bibliothèques",12345-MFHLV13_ST0_0_HI2425,1,,1,2
19,29639079,"Seyssins, Garlettes",1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,0,SEM_19_1,1,2
E,29850920,"Grenoble, Louise Michel",1234567-MGHD12_ST6_2_HI2425,0,SEM_E_2,1,2
7,29750587,"Saint-Martin-d'Hères, Henri Wallon",12345-MEHLV11_ST8_1_HI2425-MEHLV11_ST8_2_HI2425-MEHW11_ST11_1_HI2425,0,SEM_C7_3,1,2
8,30058680,"Gières, Université - IUT-STAPS",12345-MSHLVH12_ST8_2_HI2425-MSHLW12_ST11_2_HI2425,0,SEM_C8_4,1,2
5,29656301,"Gières, Université - Biologie",12345-MSILV09_ST21_0_HI2425-MSILV10_ST21_0_HI2425,1,SEM_C5_2,1,2
3,29642990,"Grenoble, Victor Hugo",12345-MEHLV09_ST0_2_HI2425-MEHLV10_ST0_2_HI2425-MEHLV10_ST0_3_HI2425,0,SEM_C3_1,1,2
C,29069996,"Saint-Martin-d'Hères, Université - Condillac",12345-MGHLV10_ST0_13_HI2425,0,SEM_C_1,1,2
16,29773032,"Saint-Martin-d'Hères, Les Alloves",12345-MSHLVH11_ST8_1_HI2425-MSHLVH12_ST8_2_HI2425-MSHLW11_ST11_1_HI2425-MSHLW12_ST11_2_HI2425,0,SEM_16_5,1,2
3,29642989,"Grenoble, Victor Hugo",12345-MEHLV09_ST0_2_HI2425-MEHLV10_ST0_2_HI2425-MEHLV10_ST0_3_HI2425,0,SEM_C3_1,1,2
E,29839950,"Fontanil-Cornillon, Palluel",12345-MGHLV10_ST0_17_HI2425,1,SEM_E_1,1,2
20,29613457,"Seyssinet-Pariset, Seyssinet-Pariset Hôtel de Ville",12345-MSILV09_ST21_0_HI2425-MSILV10_ST21_0_HI2425,0,SEM_20_3,1,2
E,29063188,"Grenoble, Louise Michel",1234567-MGHS02_ST5_3_HI2425,0,SEM_E_2,1,2
B,29337529,"Grenoble, Oxford",1234567-MGHS02_ST5_3_HI2425-MGHS12_ST5_4_HI2425,1,SEM_B_2,1,2
E,29063198,"Fontanil-Cornillon, Palluel",1234567-MGHS02_ST5_3_HI2425,1,SEM_E_1,1,2
15,28977852,"Grenoble, Verdun - Préfecture",1234567-MAHS06_ST5_0_HI2425,1,SEM_15_4,1,2
11,29982259,"Voiron, Voiron Gare Routière Sud",12345-MIHLV11_ST0_0_HI2425,0,SEM_C11_2,1,2
15,29715313,"Grenoble, Verdun - Préfecture",12345-MAHLV06_ST0_0_HI2425,1,SEM_15_2,1,2
B,29150440,"Gières, Plaine des Sports",12345-MGHLV10_ST0_13_HI2425,0,SEM_B_1,1,2
A,29543156,"Fontaine, La Poya",12345-MEHLV11_ST8_1_HI2425-MEHLV12_ST8_3_HI2425-MEHW11_ST11_1_HI2425-MEHW12_ST11_3_HI2425,1,SEM_A_2,1,2
E,29273127,"Fontanil-Cornillon, Palluel",12345-MGHLV10_ST0_13_HI2425,1,SEM_E_1,1,2
E,29063104,"Grenoble, Louise Michel",1234567-MGHS02_ST5_3_HI2425,0,SEM_E_2,1,2
24,29002231,"Gières, Gières Gare - Chamandier",1234567-MAHD06_ST6_0_HI2425,1,SEM_24_2,1,2
5,29656367,"Grenoble, Palais de Justice - Gare",12345-MSILV09_ST21_0_HI2425-MSILV10_ST21_0_HI2425,0,SEM_C5_1,1,2
18,29401497,"Poisat, Cimetière Intercommunal",1234567-MEHS02_ST5_1_HI2425-MEHS12_ST5_1_HI2425,0,SEM_18_3,1,2
E,29835233,"Gières, Plaine des Sports",12345-MGHLV09_ST0_15_HI2425-MGHLV09_ST0_16_HI2425,0,SEM_E_3,1,2
A,29847256,"Le Pont-de-Claix, L'Etoile",12345-MEHLV10_ST0_3_HI2425,0,SEM_A_3,1,2
E,29063166,"Grenoble, Louise Michel",1234567-MGHS02_ST5_3_HI2425,0,SEM_E_2,1,2
22,29645641,"Grenoble, Oxford",1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,1,SEM_22_2,1,2
2,29191695,"Claix, Pont Rouge",12345-MSHLVH11_ST8_1_HI2425-MSHLVH12_ST8_2_HI2425-MSHLW11_ST11_1_HI2425-MSHLW12_ST11_2_HI2425,0,SEM_C2_2,1,2
3,29643108,"Échirolles, Centre du graphisme",12345-MEHLV09_ST0_2_HI2425-MEHLV10_ST0_2_HI2425-MEHLV10_ST0_3_HI2425,1,SEM_C3_2,1,2
49,29056435,"Seyssins, Clinique du Dauphiné",1234567-MFHS05_ST5_0_HI2425-MFHS12_ST5_0_HI2425-MFHS13_ST5_0_HI2425,0,SEM_49_3,1,2
B,29150299,"Gières, Plaine des Sports",12345-MGHLV10_ST0_13_HI2425,0,SEM_B_1,1,2
B,29829732,"La Tronche, Grand Sablon",12345-MGHLV09_ST0_15_HI2425,0,SEM_B_1,1,2
46,29101226,"Saint-Paul-de-Varces, Saint-Paul-de-Varces Place",1234567-MFHS05_ST5_0_HI2425-MFHS12_ST5_0_HI2425-MFHS13_ST5_0_HI2425,0,SEM_46_5,1,2
D,28879465,"Grenoble, Gares",1234567-MGHS02_ST5_3_HI2425-MGHS12_ST5_4_HI2425,1,SEM_D_5,1,2
B,29843139,"Gières, Plaine des Sports",12345-MGHLV10_ST0_17_HI2425,0,SEM_B_1,1,2
80,29718485,"Crolles, Le Brocey",12345-MIHLV11_ST0_0_HI2425,1,SEM_80_2,1,2
1,28951968,"Grenoble, Cité Jean Macé",1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,1,SEM_C1_1,1,2
E,29033945,"Grenoble, Louise Michel",12345-MGHLV02_ST0_10_HI2425,0,SEM_E_2,1,2
23,29516639,"Saint-Martin-d'Hères, Université - Condillac",12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425,1,SEM_23_2,1,2
A,28908406,"Le Pont-de-Claix, L'Etoile",1234567-MEHS02_ST5_1_HI2425-MEHS12_ST5_1_HI2425,0,SEM_A_3,1,2
59,29477391,"Gières, Gières Gare - Chamandier",1234567-MFHS05_ST5_0_HI2425-MFHS12_ST5_0_HI2425-MFHS13_ST5_0_HI2425,1,SEM_59_2,1,2
2,29191649,"Grenoble, Louise Michel",12345-MSHLVH11_ST8_1_HI2425-MSHLVH12_ST8_2_HI2425-MSHLW11_ST11_1_HI2425-MSHLW12_ST11_2_HI2425,1,SEM_C2_1,1,2
E,29033879,"Fontanil-Cornillon, Palluel",12345-MGHLV02_ST0_10_HI2425,1,SEM_E_1,1,2
15,28977864,"Domène, Les Arnauds",1234567-MAHS06_ST5_0_HI2425,0,SEM_15_3,1,2
6-HI2425,28794731,"Grenoble, Grand'place",12345-MSHLVH11_ST8_1_HI2425-MSHLW11_ST11_1_HI2425-MSILV09_ST21_0_HI2425-MSILV10_ST21_0_HI2425,1,SEM_C6_3,1,2
7,29747463,"Saint-Martin-d'Hères, Henri Wallon",12345-MEHLV09_ST0_2_HI2425-MEHLV10_ST0_2_HI2425-MEHLV10_ST0_3_HI2425,0,SEM_C7_3,1,2
6-HI2425,28794624,"Grenoble, Oxford",12345-MSHLVH11_ST8_1_HI2425-MSHLW11_ST11_1_HI2425-MSILV09_ST21_0_HI2425-MSILV10_ST21_0_HI2425,0,SEM_C6_4,1,2
90,29491666,"Gières, Gières Gare - Université",12345-MIHLV09_ST0_5_HI2425-MIHLV11_ST0_0_HI2425,0,SEM_90_1,1,2
A,29936384,"Le Pont-de-Claix, L'Etoile",12345-MEHLV12_ST8_2_HI2425-MEHW12_ST11_2_HI2425,0,SEM_A_3,1,2
80,29718534,"Grenoble, Verdun - Préfecture",12345-MIHLV11_ST0_0_HI2425,0,SEM_80_1,1,2
B,29150353,"Grenoble, Oxford",12345-MGHLV10_ST0_13_HI2425,1,SEM_B_2,1,2
6-HI2425,28794603,"Grenoble, Oxford",12345-MSHLVH11_ST8_1_HI2425-MSHLW11_ST11_1_HI2425-MSILV09_ST21_0_HI2425-MSILV10_ST21_0_HI2425,0,SEM_C6_4,1,2
E,29850949,"Fontanil-Cornillon, Palluel",1234567-MGHD12_ST6_2_HI2425,1,SEM_E_1,1,2
62,29437719,"Grenoble, Notre-Dame - Musée",12345-MFHLV09_ST21_8_HI2425-MFHLV10_ST21_7_HI2425,0,SEM_N62_4,1,2
6-HI2425,28794652,"Grenoble, Oxford",12345-MSHLVH11_ST8_1_HI2425-MSHLW11_ST11_1_HI2425-MSILV09_ST21_0_HI2425-MSILV10_ST21_0_HI2425,0,SEM_C6_4,1,2
16,29188954,"Le Pont-de-Claix, Gendarmerie",123456*-MSILV09_ST21_0_HI2425-MSILV10_ST21_0_HI2425,1,SEM_16_6,1,2
C,28905892,"Saint-Martin-d'Hères, Université - Condillac",1234567-MGHS02_ST5_3_HI2425-MGHS12_ST5_4_HI2425,0,SEM_C_1,1,2
B,29843142,"Gières, Plaine des Sports",12345-MGHLV10_ST0_17_HI2425,0,SEM_B_1,1,2
6-HI2425,28793308,"Eybens, Maisons Neuves",1234567-MSHDF02_ST6_4_HI2425-MSHDF11_ST6_0_HI2425,1,SEM_C6_3,1,2
18,29401501,"Meylan, Lycée du Grésivaudan",1234567-MEHS02_ST5_1_HI2425-MEHS12_ST5_1_HI2425,1,SEM_18_4,1,2
E,29273140,"Fontanil-Cornillon, Palluel",12345-MGHLV10_ST0_13_HI2425,1,SEM_E_5,1,2
B,29150305,"Grenoble, Oxford",12345-MGHLV10_ST0_13_HI2425,1,SEM_B_2,1,2
6-HI2425nav,30027880,"Grenoble, Grand'place",1234567-MEHS12_ST5_1_HI2425,0,,1,2
B,29842932,"Gières, Plaine des Sports",12345-MGHLV10_ST0_17_HI2425,0,SEM_B_1,1,2
1,29429375,"Grenoble, Cité Jean Macé",12345-MSHLVH11_ST8_1_HI2425-MSHLW11_ST11_1_HI2425,1,SEM_C1_5,1,2
8,29782766,"Grenoble, Victor Hugo - Belgrade",12345-MSILV09_ST21_0_HI2425-MSILV10_ST21_0_HI2425,1,SEM_C8_1,1,2
20,29612428,"Veurey-Voroize, La Rive",1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,1,SEM_20_2,1,2
E,29063124,"Fontanil-Cornillon, Palluel",1234567-MGHS02_ST5_3_HI2425,1,SEM_E_1,1,2
14,29089161,"Grenoble, Gares",1234567-MFHS05_ST5_0_HI2425-MFHS12_ST5_0_HI2425-MFHS13_ST5_0_HI2425,1,SEM_C14_6,1,2
25,29844665,"Vif, La Valonne",12345-MAHLV06_ST0_0_HI2425,0,SEM_25_1,1,2
7,29952409,"Saint-Martin-d'Hères, Henri Wallon",12345-MEHLV12_ST8_2_HI2425-MEHLV12_ST8_3_HI2425-MEHW12_ST11_2_HI2425-MEHW12_ST11_3_HI2425,0,SEM_C7_3,1,2
E,29850570,"Gières, Plaine des Sports",1234567-MGHS12_ST5_4_HI2425,0,SEM_E_4,1,2
4,29552067,"Grenoble, Victor Hugo",1234567-MEHS02_ST5_1_HI2425-MEHS12_ST5_1_HI2425,1,SEM_C4_2,1,2
A,29936396,"Le Pont-de-Claix, L'Etoile",12345-MEHLV12_ST8_2_HI2425-MEHW12_ST11_2_HI2425,0,SEM_A_3,1,2
A,29847237,"Fontaine, La Poya",12345-MEHLV10_ST0_3_HI2425,1,SEM_A_4,1,2
47,29056491,"Claix, Val d'Allières",1234567-MFHS05_ST5_0_HI2425-MFHS12_ST5_0_HI2425-MFHS13_ST5_0_HI2425,0,SEM_47_1,1,2
3,29740471,"Échirolles, Centre du graphisme",12345-MEHLV11_ST8_1_HI2425-MEHLV11_ST8_2_HI2425-MEHLV12_ST8_2_HI2425-MEHLV12_ST8_3_HI2425-MEHW11_ST11_1_HI2425-MEHW12_ST11_2_HI2425-MEHW12_ST11_3_HI2425,1,SEM_C3_2,1,2
24,29846828,"Gières, Gières Gare - Chamandier",12345-MAHLV06_ST0_0_HI2425,1,SEM_24_2,1,2
1,29429444,"Grenoble, Cité Jean Macé",12345-MSHLVH11_ST8_1_HI2425-MSHLW11_ST11_1_HI2425,1,SEM_C1_4,1,2
5,29308552,"Grenoble, Palais de Justice - Gare",1234567-MSHDF02_ST6_4_HI2425-MSHDF11_ST6_0_HI2425-MSHDF12_ST6_0_HI2425,0,SEM_C5_1,1,2
B,29028323,"Grenoble, Oxford",12345-MGHLV02_ST0_10_HI2425-MGHLV09_ST0_16_HI2425-MGHLV12_ST0_1_HI2425,1,SEM_B_2,1,2
E,29839749,"Fontanil-Cornillon, Palluel",12345-MGHLV10_ST0_17_HI2425,1,SEM_E_1,1,2
13,29360903,"Grenoble, Gare Routière",12345-MIHLV09_ST0_5_HI2425,1,SEM_C13_1,1,2
B,29829564,"Grenoble, Oxford",12345-MGHLV09_ST0_15_HI2425,1,SEM_B_2,1,2
22,29645658,"Grenoble, Oxford",1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,1,SEM_22_2,1,2
C,29069936,"Seyssins, Le Prisme",12345-MGHLV10_ST0_13_HI2425,1,SEM_C_2,1,2
23,29457400,"Vizille, Le Péage",1234567-MFHS05_ST5_0_HI2425-MFHS12_ST5_0_HI2425,0,SEM_23_1,1,2
10,29615483,"Échirolles, Marie Curie",1234567-MFHS05_ST5_0_HI2425,0,SEM_C10_1,1,2
A,29270785,"Le Pont-de-Claix, L'Etoile",1234567-MEHD02_ST6_1_HI2425-MEHD12_ST6_2_HI2425,0,SEM_A_3,1,2
1,29429547,"Meylan, Maupertuis",12345-MSHLVH11_ST8_1_HI2425-MSHLW11_ST11_1_HI2425,0,SEM_C1_2,1,2
4,29740334,"Eybens, Le Verderet",12345-MEHLV11_ST8_1_HI2425-MEHLV11_ST8_2_HI2425-MEHLV12_ST8_2_HI2425-MEHLV12_ST8_3_HI2425-MEHW11_ST11_1_HI2425-MEHW12_ST11_2_HI2425-MEHW12_ST11_3_HI2425,0,SEM_C4_1,1,2
D,28879497,"Saint-Martin-d'Hères, Etienne Grappe",1234567-MGHS02_ST5_3_HI2425-MGHS12_ST5_4_HI2425,0,SEM_D_6,1,2
D,28879455,"Grenoble, Gares",1234567-MGHS02_ST5_3_HI2425-MGHS12_ST5_4_HI2425,1,SEM_D_5,1,2
A,29847232,"Le Pont-de-Claix, L'Etoile",12345-MEHLV10_ST0_3_HI2425,0,SEM_A_3,1,2
