stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
89,89,"Saint-Martin-le-Vinoux, Mas Caché",45.2177,5.72187,,,LEMASGAC,2
890,890,"Grenoble, Arago",45.19581,5.71288,,,ARAGO,1
892,892,"Grenoble, Gares",45.19155,5.71525,,,GARES,1
893,893,"Grenoble, Gares",45.19149,5.71514,,,GARES,1
894,894,"Grenoble, Félix Viallet",45.19068,5.71769,,,FELIXVIA,1
895,895,"Grenoble, Félix Viallet",45.19073,5.71847,,,FELIXVIA,1
896,896,"Grenoble, Auguste Ravier",45.18399,5.73965,,,AUGURAVI,1
897,897,"Grenoble, Auguste Ravier",45.18378,5.73885,,,AUGURAVI,1
898,898,"Grenoble, Clemenceau",45.18388,5.74107,,,CLEMENCE,2
90,90,"Veurey-Voroize, La Cuche",45.25604,5.62804,,,LACUCHE,2
900,900,"Grenoble, Edison",45.18115,5.74129,,,EDISON,1
901,901,"Grenoble, Suzanne Noël - Les Bains",45.17889,5.74249,,,LESBAINS,1
902,902,"Grenoble, Paul Cocat",45.17196,5.74543,,,PAULCOCA,1
903,903,"Grenoble, Léon Jouhaux",45.16899,5.74444,,,LEONJOUH,1
904,904,"Grenoble, Léon Jouhaux",45.16928,5.74462,,,LEONJOUH,1
905,905,"Saint-Martin-d'Hères, Pierre Loti",45.16666,5.74656,,,PIERRELO,1
906,906,"Saint-Martin-d'Hères, Paul Eluard",45.16506,5.7491,,,PAULELUA,1
907,907,"Grenoble, Victor Hugo",45.18977,5.72454,,,VICTHUGO,2
909,909,"Saint-Martin-d'Hères, Clinique Belledonne",45.18591,5.76032,,,CLINBELD,1
910,910,"Saint-Martin-d'Hères, Clinique Belledonne",45.18598,5.76095,,,CLINBELD,1
911,911,"Saint-Martin-d'Hères, Neyrpic - Belledonne",45.18681,5.75723,,,NEYRBELL,1
912,912,"Saint-Martin-d'Hères, Péri - Brossolette",45.18762,5.7526,,,PERIBROS,1
915,915,"Sassenage, Place de la Libération",45.20682,5.66281,,,PLIBERAT,1
917,917,"Sassenage, Trefforine",45.2041,5.66524,,,TREFFORI,1
918,918,"Sassenage, Pré Fleury",45.20183,5.66763,,,PREFLEUR,1
919,919,"Sassenage, Pré Fleury",45.20145,5.66791,,,PREFLEUR,1
92,92,"Saint-Martin-le-Vinoux, Mas Caché",45.21735,5.72194,,,LEMASGAC,2
920,920,"Sassenage, Les Pies",45.19957,5.66989,,,LESPIES,1
921,921,"Sassenage, Les Pies",45.19952,5.66985,,,LESPIES,1
923,923,"Grenoble, Berriat-Le Magasin",45.18849,5.7058,,,BERRIAT,1
924,924,"Grenoble, Berriat-Le Magasin",45.18867,5.70591,,,BERRIAT,1
925,925,"Grenoble, Cémoi",45.1849,5.70564,,,CEMOI,1
926,926,"Grenoble, Cémoi",45.18495,5.70573,,,CEMOI,1
93,93,"Venon, Venon Mairie",45.17181,5.80468,,,VENONMAI,2
94,94,"Venon, Venon Mairie",45.17165,5.80482,,,VENONMAI,2
941,941,"Grenoble, Cité Jean Macé",45.19892,5.711,,,CITEMACE,2
945,945,"Grenoble, Alsace-Lorraine",45.18828,5.719,,,ALSACELO,2
948,948,"Grenoble, Cité Jean Macé",45.20038,5.71123,,,CITEMACE,1
95,95,"Venon, La Ville",45.17377,5.80279,,,LAVILLE,2
96,96,"Venon, La Ville",45.17409,5.80262,,,LAVILLE,2
968,968,"La Tronche, Hôpital Michallon - Belledonne",45.1973,5.74707,,,HOPMICHA,2
